code,Name
AJY,HUAN CLINIC
AJZ,Circuit Medical Clinic
AK0,Lily Neo Clinic Pte Ltd
AK1,Procross Medical Center
AK2,VITACARE FAMILY CLINIC @ CANBERRA PTE. LTD.
ak3,ADVANCED UROLOGY
AK5,Centre for Ear Nose Throat Allergy & Snoring
AK6,UNITY DENTICARE
AK8,TAN-TEOH CLINIC & SURGERY
AK9,United Medical Practitioners
AKA,WOODLANDS FAMILY CLINIC
AKB,FEM SURGERY @ MACPHERSON
AKE,PINNACLE FAMILY CLINIC (BUANGKOK SQUARE)
AKF,Trucare Medical And Surgery
AKH,Nobel Heart Centre
AKJ,Straits Aesthetic
AKL,Smiles R Us Dental (Punggol)
AKR,NOVI HEALTH
AKS,The Medical Clinic Pte Ltd
AL7,IDOC CLINIC (HONG KAH) PTE LTD
ALB,PRISTINE DENTALWORKS
AND,Total EyeCare Center
B0,The Medical Centre Clinic (Hong Leong)
B1,Thean Clinic Pte Ltd
B2,Town Clinic
B3,Universal Medical Clinic
B4,Wee Medical Clinic
B5,Yap Family Clinic and Surgery
B6,Yau Medical Clinic Pte Ltd
B7,Ang Mo Kio Medical Centre
B8,Chan Family Clinic
B9,Chan-Gwee Medicare Clinic
BA,BOON KENG CLINIC AND SURGERY
BB,CHONG'S MEDICAL CENTRE
BC,HARMONY FAMILY CLINIC
BD,JOYSPRING FAMILY CLINIC
BE,JUNCTION 8 FAMILY CLINIC
BF,K N CHIN ASSOCIATES
BG,KUSUMA LEE CLINIC & SURGERY FOR WOMEN
BH,LIFELINK BUKIT TIMAH
BI,NTUC Medicare Family Clinic
BJ,PICTON MEDICAL CENTRE
BK,THE EDINBURGH CLINIC
BL,Y M CHAN CLINIC & SURGERY
BM,YISHUN MEDICAL & DENTAL SURGERY
BN,H.S. LEE CLINIC & SURGERY
BO,RAFFLES MEDICAL GROUP
BP,TAMPINES CLINIC & SURGERY PTE LTD
BQ,ACCENT DENTAL SURGERY PTE LTD (AMK BRANCH)
BS,Dayspring Medical Clinic
BT,Shenton Clinic
BU,Lee Clinic And Surgery
BV,Drs Horne & Chin Pte Ltd
BW,Essential Family Clinic And Surgery
BX,G J Medical Clinic (Jurong Point)
BY,G P Medical Centre & Surgery
C0,IM Medical Specialist
C1,Ear Nose Throat & Snoring Centre
C2,Kwong Wai Shiu Hospital
C3,Excellence Healthcare Pte Ltd
C4,Hyperbaric Medical Services Pte Ltd
C5,MD Specialist Healthcare Pte Ltd
C6,The ENT Clinic
C7,Pacific Endoscopic & Day Surgery Centre
C8,K L Tay Clinic & Surgery
C9,Singapore Sports and Orthopaedic Clinic Pte Ltd
CA,GH Chee Ear Nose Throat & Dizziness Centre
CB,Ming Medical Centre
CC,Rayman Dispensary
CD,S W Medical Centre
CE,Tan Clinic & Surgery Pte Ltd
CF,Tanglin Halt Clinic
CG,Tek Dispensary
CH,Toa Payoh Clinic
CI,Universal Medical Clinic
CJ,Victoria Medical House
CK,Yim Medical Centre (Admiralty Mrt)
CL,Yong Clinic & Surgery
CM,Drs Oh Lim Wong & Partners
CN,Silver Cross Family Clinic (Marsiling)
CO,Central Clinic & Surgery (Hougang)
CP,Drs Tang & Partners Pte Ltd
CQ,Silver Cross Family Clinic
CR,Silver Cross Family Clinic (Upper Bukit Timah)
CS,Silver Cross Family Clinic (Jurong)
CT,Singapore Day Surgery Centre
CV,ONELIFE FAMILY CLINIC
CW,Ar-Raudhah Medical Clinic
CX,Aspen Clinic
CY,Canberra Medical Aesthetics
CZ,Chang Clinic & Surgery
D0,G. S. Clinic & Surgery Pte Ltd
D1,WU MEDICAL CLINIC PTE LTD
D2,KIDNEY AND MEDICAL CENTRE
D3,CENTRE FOR KIDNEY DISEASES PTE LTD
D4,Fresenius Medical Care Katong Dialysis Centre
D5,RENAL CARE (JURONG) PTE LTD
D6,Asia Renal Care Mt Elizabeth Pte Ltd
D7,KIDNEY DIALYSIS CENTER
D8,GRACE LEE RENAL AND MEDICAL CLINIC
DA,SINGAPORE CHILDREN'S SOCIETY - SGH PERITONEAL DIALYSIS (PD) CENTRE
DB,KIDNEY DIALYSIS CENTRE (BEDOK) PTE LTD
DC,Lifeline Medical Group - Sengkang
DD,Lifeline Bukit Panjang Medical Clinic
DE,RENAL MEDICAL SERVICES PTE LTD
DF,Renal Therapy Services Pte Ltd
DG,Goodhealth Medical Centre
DH,L & L Family Medicine Clinic
DI,Lee and Koh Family Clinic
DJ,Leong Clinic & Surgery
DK,Lin & Sons Clinic & Surgery Pte Ltd
DL,London (MH) Clinic & Surgery
DM,Mary Medical Clinic And Surgery
DN,Northland Family Clinic & Surgery
DO,Ong's Clinic
DP,Pinnacle Medical Centre
DQ,Pro-Life Medical Associates Pte Ltd
DR,Simon Road Family Clinic
DS,Sincere Medical & Dental Clinic
DT,Tay Clinic
DU,Teban Garden Clinic
DV,Trinity Medical & Aesthetic Clinic Pte Ltd
DW,Vista Medical Centre
DX,Yap Medicare Clinic & Surgery
DY,Yoong Family Clinic & Surgery
DZ,Alexandra Family Clinic & Surgery
E0,Beo Crescent Family Clinic & Surgery
E1,New Age Cosmetic Dentists
E2,Shenton Republic Dental Surgery Pte Ltd
E3,Singapore Dental Implant Centre
E4,T & T Dental Surgery
E5,iSmile Dental Clinic
E6,Thomson Dental Surgeons Pte Ltd
E7,Thomson Plaza Dental Surgery Pte Ltd
E8,Popular Dental
E9,GPA Dentalcare@Goldhill Pte Ltd
EA,New Life Dental Surgery
EB,Bedok Town Dental Surgery
EC,Harbourpoint Dental Centre
ED,Lee & Lee Dental Surgeons Pte Ltd
EE,Apex Dental Surgery
EF,Chen Dental Surgery
EG,Dental Care @ Fajar Pte Ltd
EH,Elias Dental Surgery
EI,Emerald Dental Centre
EJ,Gentle Dental Group Pte Ltd - 27 East Coast Clinic
EK,Ho Kee Hai & Partners Dental Implant Maxillofacial Aesthetic Centre
EL,I Care Dental Pte Ltd
EM,International Dental Centre
EN,Killiney Dental Centre Pte Ltd
EO,Orchard Dental Surgery
EP,Radiance Dental Care @Dawson
EQ,SmileArts Dental Studio
ER,The Dental People
ES,White Dental Group
ET,Yen Dental Surgery Pte Ltd
EU,Gentle Dental Group Pte Ltd - 401 River Valley Clinic
EV,HK FAMILY CLINIC AND SURGERY PTE LTD
EW,HL Clinic Pte Ltd
EX,HL Family Clinic & Surgery (Bedok)
EY,HL Family Clinic & Surgery
EZ,Horizon Medical Centre
F0,Island Group Clinic
F1,CAMDEN FERTILITY CENTRE
F2,Cassia Clinic And Surgery
F3,Charis Clinic & Surgery
F4,Cheong Medical Clinic
F5,Chong's Clinic
F6,Choong's Clinic (at Old Airport Rd)
F7,Choong's Clinic
F8,Cityhealth Clinic & Surgery
F9,Hamid Family Clinic & Surgery
FA,Hope Family Clinic And Surgery
FB,Eunos 5 Clinic
FC,Mao Medical Centre & Surgery
FD,Millennium Medical Group (Choa Chu Kang)
FE,New Health Family Clinic
FF,POW Family Clinic & Surgery
FG,Primecare Medical Clinic
FH,Saw Baby & Child Clinic & Khoo Family Clinic
FI,Seasons Clinic
FJ,Sp Clinic
FK,Sterling Clinic & Surgery
FL,Summit Medical Clinic
FM,Tai Seng Clinic
FN,Teo Clinic & Surgery Pte Ltd
FP,W H Yak Family Clinic
FQ,Yishun Medical And Dental Centre
FR,Family Healthcare Clinic & Surgery Pte Ltd
FS,Focus Medical Centre
FT,Healthmatters - The Family Practice
FU,Healthplus Family Clinic & Surgery
FV,Joyhealth Medical Clinic & Surgery
FW,Kong Kian Clinic
FX,L & G Medical Clinic
FY,Lim Clinic & Surgery
FZ,Medora Clinic & Surgery
G0,Sembawang Station 7am-11pm Clinic
G3,ParkwayHealth Day Surgery & Medical Centre
G4,Ansar Clinic and Dental Surgery
G5,Anteh Dispensary Family Clinic & Surgery
G6,Associate Dispensaries
G7,Cambridge Clinic
G8,Doctors Clinic & Surgery
G9,Evercare Medical Clinic
GA,Women & Fetal Centre
GB,Haig Specialist O & G Clinic Pte Ltd
GC,Evercare Medical Clinic
GD,Friendship Clinic & Surgery
GE,Foo And Ong Family Clinic Pte. Ltd.
GF,Japan Clinic And Surgery
GG,KCS Medical Centre Pte Ltd
GH,K P Tan Medical Clinic
GI,Koo Cardiac Clinic
GJ,MacPherson Medical Clinic
GK,St Georges Clinic And Surgery
GL,Textile Centre Clinic
GM,The Civic Clinic
GN,Yio Chu Kang Mrt Clinic Pte Ltd
GO,531 Clinic & Surgery
GP,Ansari Family Clinic & Surgery
GQ,Apex Clinic & Surgery
GR,Apex Clinic & Surgery
GS,Bedok Day & Night Clinic
GT,Bukit Timah Nam Sang Clinic
GU,Clinical Associates Medical Centre
GV,Dawson Place Clinic
GW,Drs Chan Lee Thng & Partners (Clifford Dispensary)
GX,Kang An Clinic Pte Ltd
GY,"Kevin Tan Clinic For Diabetes, Thyroid And Hormones Pte Ltd"
GZ,MW Medical Pte Ltd
H0,Kang Clinic
H3,Karri Family Clinic
H5,A CLINIC FOR WOMEN
H6,STEPHEN CHEW CENTRE FOR KIDNEY DISEASE & HYPERTENSION
H7,CENTRE FOR ASSISTED REPRODUCTION PTE LTD
H8,ANTENATAL DIAGNOSTIC CENTRE & WELL WOMEN CLINIC
H9,Nyam Endoscopy Centre
HA,CHRONIC SICK HOSPITAL
HB,CHRONIC SICK HOSPICE
HC,ALEX OOI & ASSOCIATES OBYGYN CONSULTANTS
HD,SIDEK CLINIC FOR WOMEN
HE,Parkway Women & Fertility Clinic
HF,P S LUI CLINIC & SURGERY FOR WOMEN
HG,THE LONDON CLINIC & SURGERY FOR WOMEN PTE LTD
HH,K C CHING CLINIC & SURGERY FOR WOMEN PTE LTD
HI,The Lady Gynaecologist Obstetrician's Clinic Pte Ltd
HJ,May Medical Clinic & Surgery Pte Ltd
HK,C K Yong Surgery & Breast Clinic
HL,K C CHING CLINIC & SURGERY FOR WOMEN
HM,S C Low Breast Centre Pte Ltd
HN,A Company For Women Pte Ltd
HO,Gynae Health Clinic for Women Pte Ltd
HP,K W Lee Clinic & Surgery For Women
HR,Healthsense Clinic Pte Ltd
HS,Beh's Clinic For Women Pte Ltd
HT,C F Koh Women's Clinic and Gynae-Oncology Surgery
HU,Lien Clinic for Women
HV,Cheng Clinic For Women Pte Ltd
HW,K C Chee Surgery
HX,TC Family Clinic
HZ,Northern Hope Medical Specialists
I0,Westpoint Family Hospital
I1,LP Surgery
I2,Singapore Heart Stroke & Cancer Centre Pte Ltd
I3,Drs Koo Loh & Associates (Pte) Ltd
I4,Healthlink Family Clinic & Surgery
I5,Hui Clinic & Surgery
I6,Jane & Lee Sembawang Family Clinic
I7,Lifelink Clinic & Surgery
I8,Lifelink 24hrs Clinic & Surgery
I9,Lighthouse Clinic And Surgery
IA,Medica Clinic
IB,Northeast Medical Centre Pte Ltd
IC,Northeast (Simei) Medical Centre Pte Ltd
ID,The Healing Light Clinic
IE,The People's Clinic
IF,HEALTHSPRINGS MEDICAL ASSOCIATES
IG,"Drs Singh & Partners, Raffles City Medical Centre"
IH,Drs Singh & Partners (Starsway Clinic)
II,Esther Yeo Clinic
IJ,Family Medicine Clinic
IK,First Medical Centre Pte Ltd
IL,Geylang Serai Clinic
IM,Health Care Medical Centre
IN,Lum Clinic & Surgery
IO,Lusumu Family Clinic
IP,PJ Clinic
IQ,Picton Medical Centre
IR,Teoh Clinic Family Practice
IS,Twin City Medical Group Pte Ltd
IT,Woodlands Medical Centre & Woodlands Dental Clinic (Medical)
IU,Make-Well Family Clinic & Surgery
IV,Marine Clinic
IW,Susan Quek Heart Care Clinic
IX,The Flame Tree Medical Centre
IY,Toh Yi Family Clinic
IZ,Caritas Clinic
J0,Bukit Timah Clinic
J1,JOHN HOPKINS SINGAPORE INTERNATIONAL MEDICAL CENTRE PTE LTD
J2,T32 Dental Centre Pte Ltd
J3,KOH Dental Surgery Pte Ltd-Hong Leong
J4,Toof Doctor Dental Surgeons
J5,Universe Dental Surgery Pte. Ltd.
J6,Apollonia Dental Surgery
J7,Smile Link Dental Pte Ltd
J8,Q & M Dental Surgery (Serangoon) Pte Ltd
J9,Vincent's Dental Surgery
JA,Crest Dental Surgery
JB,Le Mint's Dental Practice
JC,Orange Dental Clinic Pte Ltd
JD,Sensentional Smiles Dentistry LLP
JE,Rapha Specialist Clinic
JF,Accent Dental Surgery Pte Ltd (JALAN MEMBINA)
JG,Nam Sang Dental Surgery Pte Ltd
JH,Friends Dental Surgeons
JI,Faith Family Clinic
JJ,Hospital Dental Surgery
JK,Universal Dental Surgery
JL,Aaron CTP Dental Surgery Pte Ltd
JM,Aaron Dentalcare Pte Ltd
JN,Aaron Seow Dental Surgery
JO,Bukit Panjang Family Clinic
JP,Dentigiene Dental Surgery Pte Ltd
JQ,Royce Dental Surgery Pte Ltd
JR,Yishun Dental Surgery Pte Ltd
JS,Greenlife Dental Clinic
JT,Sunshine Smile Dental Implant Centre Pte Lte
JU,Foo & Associates Dental Surgeons
JV,Perumal Dental Surgery Pte Ltd
JW,Bright Smile Dental Surgery Pte Ltd
JX,Chai Chee Dental Surgery
JY,Neptune Dental Group
JZ,Q & M Dental Surgery (Hougang Mall) Pte Ltd
K00,Asia Kidney Dialysis Centre (Teck Whye)
K01,advanced dental clinic bedok pte ltd
K02,Broad Smile Dental Pte Ltd
K03,DENTIGIENE DENTAL SURGERY PTE LTD
K04,HEALTHWAY DENTAL CLINIC
K05,HEALTHWAY DENTAL CLINIC
K06,Ko Djeng Sakura Dental Clinic
K07,LITTLE INDIA DENTIST
K08,Nuffield Dental @ Kovan
K09,Rafflesia Dental Surgery
K0A,RafflesDental
K0B,RAFFLESDENTAL
K0C,TAY DENTAL SURGERY
K0D,Unity Denticare
K0E,WEST COAST DENTAL CLINIC PTE LTD
K0F,NOEL LEONG FERTILITY & IVF CLINIC PTE LTD
K0G,The Heart and Vascular Centre
K0H,BEDOK  CENTRAL CLINIC
K0I,Benessere Clinic Pte. Ltd.
K0J,C Y KOK CLINIC & SURGERY
K0K,Clinic@Costa
K0L,DRS CHUA & PARTNERS PTE LTD
K0M,DRS HORNE & CHIN PTE LTD
K0N,EXCELSIOR CLINIC & SURGERY
K0O,GREAT HEALTH MEDICAL CLINIC
K0P,KL NG MEDICAL CLINIC PTE LTD
K0Q,LIEW CLINIC & SURGERY
K0R,P N YEO CLINIC
K0S,PIONEER MEDICARE
K0T,Qure Medical Clinic
K0U,The Respiratory Practice Lung.Asthma.Cough.Allergy
K0V,The Respiratory Practice Lung.Asthma.Cough.Allergy
K0W,SL Goh Women's Clinic
K0X,St Luke's Outpatient Clinic
K0Y,Shenton Medical Group
K0Z,TAY MEDICAL CENTRE CLINIC & SURGERY
K10,The Heart Doctors Clinic
K11,WEST POINT SURGERY CENTRE
K12,YISHUN GREEN CLINIC
K13,SIMPANG BEDOK CLINIC
K14,TANJONG PAGAR MEDICAL CLINIC
K15,UNITY DENTICARE
K16,Novena Medical Center Family Clinic
K17,Thomson Paediatric Centre
K18,Raintree Dental Clinic
K19,DentalTalk (Ubi)
K1A,Farrer Park Imaging
K1B,RADIOLOGIC CLINIC
K1C,Fullerton Healthcare @ NTU
K1D,LEE CLINIC PTE LTD
K1E,RafflesMedical (Marina Bay Financial Centre Tower 3)
K1F,Twin City Endodontic Partners Pte Ltd
K1G,LE MINT'S ORAL MAXILLOFACIAL SURGERY
K1H,Casa Dental (AMK)
K1I,BERNARD TAN DENTAL SURGERY
K1J,Renal Life (Alexandra) Dialysis Centre Pte Ltd
K1K,OncoCare Cancer Centre
K1L,OncoCare Cancer Centre
K1M,CAMBRIDGE CLINIC
K1N,CHUA CLINIC
K1O,CHUA CLINIC & SURGERY
K1P,CLIFFORD FAMILY CLINIC
K1Q,Dermatology & Surgery Clinic
K1R,Dermatology & Surgery Clinic
K1S,Dr Steven Ang Aesthetic & Family Clinic
K1T,EL SHADDAI ARTHRITIS + RHEUMATISM SPECIALIST MEDICAL CENTRE
K1U,G.I.F.T MEDICAL CENTRE
K1V,Green Cross medical centre pte ltd
K1W,Heng Clinic & Surgery
K1X,K. B. TAN CLINIC & LASER SURGERY
K1Y,M LAM CLINIC
K1Z,PIDEMCO MEDICAL CENTRE
K20,POINT MEDICAL GROUP (TAMAN JURONG)
K21,S Y NG CLINIC
K22,STEWARD CLINIC
K23,TEIN CLINIC & SURGERY
K24,THAM CLINIC SINGAPORE PTE.LTD.
K25,THE BALMORAL CLINIC
K26,The Family Physician Clinic
K27,UNION MEDICAL CLINIC & SURGERY
K28,VIDA MEDICAL
K29,WILMER CLINIC PTE LTD
K2A,YSL ALJUNIED CLINIC & SURGERY PTE LTD
K2B,Fullerton Healthcare @ Drs Horne & Chin
K2C,HEALTHCARE MEDICAL @ Kovan
K2D,HEALTHCARE MEDICAL @ RAILMALL
K2E,HEALTHCARE MEDICAL @ SENTOSA
K2F,JUBILEE FAMILY PHYSICIANS
K2H,L'ving Vine Medical & Wellness Clinic
K2I,LOW & LEE CLINIC & SURGERY
K2J,SIMEI CLINIC & SURGERY
K2K,TECK GHEE CLINIC
K2L,Vienna Medical Clinic
K2M,YAP WEE SEE RESPIRATORY AND SLEEP CLINIC
K2N,ANG DENTAL SURGERY
K2O,DRS.ERNEST LAM & PARTNERS dental surgeons
K2P,LAM DENTAL SURGERY PTE LTD
K2Q,Nuffield Dental Simpang Bedok
K2R,Smile Central Clinic
K2S,SmileArts Dental Studio (Hillview)
K2T,TOOFDOCTOR Dental Surgeons (Toa Payoh)
K2U,VISTA DENTAL SURGERY
K2V,I.Dental Invisalign Dedicated Clinic
K2W,PACIFIC ADVANCE RENAL CARE (WOODLANDS)
K2X,International Eye Cataract Retina Centre
K2Y,International Specialist Eye Centre
K2Z,LUKE TAN ENT-HEAD & NECK CANCER AND THYROID SURGERY CENTRE
K31,SOG - KW Lee Clinic for Women
K32,TLC GYNAECOLOGY PRACTICE CLINIC & SURGERY FOR WOMEN
K33,Thoracic & Cardiovascular Surgery Specialist
K34,PTL Spine & Orthopaedics Clinic
k35,WEE'S CLINIC & SURGERY
K36,WS LAW WOMEN'S CLINIC AND LAPAROSCOPIC SURGERY CENTRE
K37,ZENITH MEDICAL CLINIC (at Punggol Way)
K38,OncoCare Cancer Centre
K39,SOC CLINIC @ FARRER PARK
K3A,BUKIT TIMAH CLINIC
K3B,CHANGI MEDICAL CENTRE
K3C,MY FAMILY CLINIC (ANCHORVALE)
K3D,MY FAMILY CLINIC (SEGAR)
K3E,Q & M Dental Centre (Jurong East Central)
K3G,Avenue K Clinic @ Punggol
K3H,EVERHEALTH MEDICAL CENTRE
K3I,EVERHEALTH FAMILY CLINIC & SURGERY
K3J,FULLERTON HEALTHCARE @ DRS TRYTHALL HOY DAVIES IMAGING CENTRE
K3K,Renal Life (Pioneer) Dialysis Centre Pte Ltd
K3L,"NHG DIAGNOSTICS - XRAY LABORATORY, INSTITUTE OF MENTAL HEALTH"
K3M,SINGAPORE CANCER SOCIETY
K3N,Q & M Dental Surgery (Braddell)
K3O,Q & M Dental Surgery (Seletar)
K3P,"NHG Diagnostics - XRay Laboratory, Ang Mo Kio - Thye Hua Kwan Hospital Ltd"
K3Q,C & A Dental Studio @ UE Square
K3R,Coast Dental
K3S,DE PACIFIC DENTAL GROUP (BALESTIER) PTE. LTD.
K3T,DR LEO AESTHETIC PLASTIC & RECONSTRUCTIVE SURGERY PTE LTD
K3U,DR PRIYA SEN SKIN AND LASER CENTRE
K3W,ELITE DENTAL GROUP
K3Y,Fullerton Dental @ NTU
K3Z,RAFFLESDENTAL
K40,RSim General & Colorectal Surgery
K41,Smiles R Us Dental Centre
K42,THE DENTAL BOUTIQUE
K43,The Endoscopy & Piles Centre (Hougang)
K44,The O&G Specialist Clinic
K47,888 PLAZA FAMILY CLINIC
K48,Bewell Clinic @ Dorm Pte Ltd
K49,BOON LAY CENTRAL CLINIC
K4A,CRESCENT CLINIC &  SURGERY
K4B,"DOCTORS KOO, TEY & ASSOCIATES P. L."
K4D,KANG CLINIC
K4E,KOH CLINIC & SURGERY
K4F,DRS LIM & CHAN CLINIC
K4G,DRS LIM & CHAN CLINIC
K4H,MAO MEDICAL CENTRE & SURGERY
K4I,MICHELE LEE WOMEN & FERTILITY CLINIC PTE LTD
K4J,Phoenix Medical Group (Hillview)
K4K,RafflesMedical (Seletar Mall)
K4L,SAINT-JULIEN CLINIC
K4M,S AND L FAMILY CLINIC
K4N,S & L FAMILY CLINIC
K4O,Sunshine Clinic Family Practice & Surgery
K4P,TAI SENG CLINIC
K4Q,TAMPINES CLINIC AND SURGERY PTE LTD
K4R,THE DOCTOR'S CLINIC
K4S,The Hale Medical Clinic
K4T,HISEMAINN MEDICAL CLINIC (SIMS PLACE)
K4U,Dental Essence
K4V,Facial Aesthetics Dental Surgery
K4W,Focal Eye Centre
K4X,HEALTHWAY DENTAL CLINIC
K4Y,Luminous Dental Clinic @ Tampines
K4Z,Lynne Lim Ear Nose Throat & Hearing Centre (Child & Adult)
K50,MISSION DENTAL SURGERY
K51,FDC TAMAN JURONG DENTAL CENTRE
K52,The ENT Specialist Centre
K53,VIRTUS FERTILITY CENTRE
K54,BJIOS Orthopaedics
K55,RENALTEAM dialysis centre bukit merah
K56,Alfred Cheng Cardiac Care
K57,ASTIQUE THE AESTHETIC CLINIC
K58,CITIZEN FAMILY CLINIC AND SURGERY
K59,Clover Medical Clinic Pte Ltd
K5A,GLEN ARDEN ENDOCRINOLOGY SPECIALIST CLINIC PTE LTD
K5B,Irene & Jon Clinic for Women
K5C,JALAN KUKOH CLINIC
K5D,PSALMS FAMILY CLINIC
K5E,THE BALMORAL CLINIC  FAMILY MEDICINE
K5F,THE HEALER CLINIC + SURGERY
K5G,The Pinnacle Medical Centre @ Maritime
K5H,WOODLANDS FAMILY CLINIC
K5K,Agency for Integrated Care Pte Ltd
K5M,Eye Max Centre
K5N,SEGAR VALE DENTAL SURGERY
K5O,SMILE DOCTOR AESTHETICS & IMPLANT DENTISTRY
K5P,Access Medical (Circuit Road)
K5Q,HEALTHLINK FAMILY CLINC & SURGERY
K5R,PROHEALTH 24-HOUR MEDICAL CLINIC
K5S,ARCA(FARRER PARK) DIALYSIS PTE LTD
K5T,ADVANCED DENTAL CLINIC JURONG WEST PTE LTD
K5U,advanced dental clinic toa payoh pte ltd
K5V,CENTRE FOR COSMETIC REJUVENATION & SURGERY
K5W,Centre For Orthopaedics And Hip And Knee Surgery
K5X,Centre For Spine And Orthopaedic Surgery
K5Y,Centre For Sports And Shoulder And Elbow Surgery
K5Z,DENTALTOWN (GSM)
K60,"DRS. LIM, HOE & WONG RADIOLOGY PTE LTD"
K61,"Drs. Lim, Hoe & Wong Radiology Pte Ltd"
K62,New Life Dental Surgery
K63,Parkway Dental Services
K64,PROCROSS MEDICAL CENTRE
K65,PURE NZ DENTAL
K66,Q & M Dental Surgery (Pasir Ris MRT)
K67,RADLINK DIAGNOSTIC IMAGING (S) PTE LTD
K68,S A LOH DENTAL SURGERY PTE LTD
K69,"Smile Central Clinic (At Aljunied Ave 2, #01-74)"
K6A,SMILE DESIGNERS DENTAL CLINIC
K6B,SOC Clinic @ Gleneagles
K6C,SOC CLINIC @ MT ELIZABETH
K6D,SOG - Cindy Pang Clinic for Women & GynaeOncology
K6E,SOG - Natalie Chua Clinic For Women
K6F,The Smile Division dental surgeons@CCK Pte Ltd
K6G,The Smile Division dental surgeons@Tampines Pte Ltd
K6H,Town Hall Dental Surgery Pte Ltd
K6I,BUKIT BATOK WEST CLINIC
K6J,CENTRE FOR MEDICAL IMAGING
K6K,Cynthia Kew Clinic for Women & Laparoscopic Surgery
K6L,Eterna Medical Clinic
K6M,Fullerton Healthcare @ OFC Imaging Centre
K6N,HEALTH PARTNERS MEDICAL CLINIC
K6O,"HEART, STROKE & CANCER CENTRE"
K6P,KC Ong Chest & Medical Clinic
K6Q,Kai Clinic
K6R,Lee Respiratory and Sleep Clinic
K6S,N B THAM CLINIC PTE LTD
K6U,Onecare Clinic Yishun
K6V,PHOENIX MEDICAL GROUP (PAYA LEBAR)
K6W,SIGLAP CLINIC PTE LTD
K6X,The Medical Suite An SMG Clinic
K6Y,UBI FAMILY CLINIC & SURGERY
K6Z,HEALTHWAY DENTAL CLINIC
K70,Phoenix Dental Surgery (Marine Parade Central)
K71,The Dental Hub @ Bedok
K72,115 EASTPOINT CLINIC & SURGERY
K73,A+FFORDABLE CLINIC (HOUGANG)
K74,CHANLAI HEALTHCARE CLINIC
K75,David Lau ENT Centre
K76,Elyon Family Clinic And Surgery
K77,LAU CLINIC AND SURGERY
K78,Sia & Yeo Hougang Clinic Pte Ltd
K7B,The Clinic @ Aperia
K7C,THE CLINIQ
K7D,The Pain Relief Clinic
K7E,Viva Medical Group
K7F,WEST COAST CLINIC & SURGERY (CLEMENTI WEST) PTE LTD
K7G,YISHUN RING ROAD CLINIC
K7I,ST ANDREW'S MISSION HOSPITAL CLINIC (SIMEI)
K7J,Q & M Dental Surgery (Bedok)
K7L,DENTAL SURGERY CENTRE
K7M,DENTALFAMILY (PIONEER)
K7O,GERALD TAN UROLOGY + ROBOTICS
K7P,Gerald Tan Urology + Robotics
K7Q,Healthway Dental Clinic
K7R,SOG - Beh Clinic for Women
K7S,LOYAL DENTAL PTE LTD
K7T,LUMINOUS DENTAL CLINIC @ BEDOK POINT
K7U,Manchester Dental Care Pte Ltd
K7V,NeuSmile Dental Group (Kovan) Pte Ltd
K7W,NUFFIELD DENTAL SIGLAP
K7X,Pacific Healthcare Specialist Centre
K7Y,Pacific Healthcare Specialist Centre
K7Z,Procross Medical Clinic
K80,SOG - Choo Wan Ling Clinic for Women
K81,SOG - Radhika Breast & General Surgicare
K82,Sainte Chapelle Clinic
K83,Sainte Chapelle Orthodontics And Aesthetic Dentistry
K84,The Oral Maxillofacial Practice
K85,Advent Dental Surgery Pte. Ltd.
K86,ADVANCE DIALYSIS SERVICES PTE LTD
K87,AllSmiles Dental Care Plus
K88,The Braces Practice
K89,CANTERBURY MEDICAL CENTRE
K8A,Dr. Tan & Partners @ Scotts
K8B,Epismile (Bt Batok) Dental Group Pte Ltd
K8C,Heartland Family Clinic
K8D,Island Family Clinic (Sengkang)
K8E,LIANG CLINIC
K8F,LUA CLINIC & SURGERY
K8G,Mission (Hougang) Medical Clinic
K8H,MRI Center for The Extremities (MCE) Pte Ltd
K8I,NUFFIELD MEDICAL SIGLAP
K8J,PEACE FAMILY CLINIC
K8L,RAFFLES EXECUTIVE MEDICAL CENTRE (Raffles Hospital)
K8M,RafflesMedical (Eastpoint Mall)
K8N,RAFFLESMEDICAL (Raffles Hospital)
K8O,SMILE CENTRAL CLINIC (At Toa Payoh Central)
K8P,SMG Specialist Centre
K8Q,SMG Specialist Centre
K8R,Swiss Clinic
K8S,The iClinic
K8T,Trinity Medical (Shenton)
K8U,Yap + Ang Surgical Associates
K8V,"Allergy, Arthritis & Rheumatism Clinic"
K8W,CENTURY DENTAL CARE
K8X,Dr. Smile Dental Clinic
K8Y,JESSELTON DENTAL CENTRE
K8Z,MY ENT SPECIALIST
K90,MySmile Dental Clinic
K91,NAIR CARDIAC MEDICAL SPECIALIST CENTRE
K92,Neo Smiles Dental Studio
K93,NOBLE DENTAL SURGERY
K94,Novena Cancer Centre
K95,RAFFLESDENTAL
K97,The Lasik Surgery Clinic
K98,ADVANCED DENTAL CLINIC SERANGOON PTE LTD
K9A,Caring Dental (Punggol)
K9B,LVDA DENTAL CENTRE
K9C,Medicare Dental Surgery
K9D,Lakeside Family Medicine Clinic
K9E,Onecare Clinic Bukit Batok
K9F,TRIPOD DENTAL CLINIC
K9G,PACIFIC ADVANCE RENAL CARE (PUNGGOL)
K9H,PURE DENTAL STUDIO
K9I,The Dental Studio (At OUE Downtown)
K9J,UNITY DENTICARE
K9K,UNITY DENTICARE
