ICD_Code,Description,Critical_Illness_Classification
G5730,"Lesion of lateral popliteal nerve, unspecified lower limb",PARALYSIS
G5720,"Lesion of femoral nerve, unspecified lower limb",MULTIPLE_SCLEROSIS
G5703,"Lesion of sciatic nerve, bilateral lower limbs",MULTIPLE_SCLEROSIS
G5710,"Meralgia paresthetica, unspecified lower limb",NONE
G5693,Unspecified mononeuropathy of bilateral upper limbs,NONE
G5762,"Lesion of plantar nerve, left lower limb",MAJOR_CANCERS
G5770,Causalgia of unspecified lower limb,NONE
G5771,Causalgia of right lower limb,NONE
G5772,Causalgia of left lower limb,NONE
G580,Intercostal neuropathy,NONE
G587,Mononeuritis multiplex,MULTIPLE_SCLEROSIS
G601,Refsum's disease,END_STAGE_LIVER_DISEASE
G588,Other specified mononeuropathies,NONE
G603,Idiopathic progressive neuropathy,NONE
G610,Guillain-Barre syndrome,NONE
G6182,Multifocal motor neuropathy,NONE
G611,Serum neuropathy,NONE
G589,"Mononeuropathy, unspecified",NONE
G5773,Causalgia of bilateral lower limbs,NONE
G5763,"Lesion of plantar nerve, bilateral lower limbs",NONE
G5780,Other specified mononeuropathies of unspecified lower limb,NONE
G5781,Other specified mononeuropathies of right lower limb,NONE
G5782,Other specified mononeuropathies of left lower limb,NONE
G5783,Other specified mononeuropathies of bilateral lower limbs,NONE
G5790,Unspecified mononeuropathy of unspecified lower limb,MOTOR_NEURONE_DISEASE
G5791,Unspecified mononeuropathy of right lower limb,NONE
G5792,Unspecified mononeuropathy of left lower limb,NONE
G59,Mononeuropathy in diseases classified elsewhere,NONE
G602,Neuropathy in association with hereditary ataxia,MUSCULAR_DYSTROPHY
G608,Other hereditary and idiopathic neuropathies,NONE
G609,"Hereditary and idiopathic neuropathy, unspecified",NONE
G6181,Chronic inflammatory demyelinating polyneuritis,NONE
G600,Hereditary motor and sensory neuropathy,MOTOR_NEURONE_DISEASE
G5793,Unspecified mononeuropathy of bilateral lower limbs,SYSTEMIC_LUPUS_ERYTHEMATOSUS
G6189,Other inflammatory polyneuropathies,NONE
G620,Drug-induced polyneuropathy,NONE
G6281,Critical illness polyneuropathy,NONE
G6282,Radiation-induced polyneuropathy,MOTOR_NEURONE_DISEASE
G6289,Other specified polyneuropathies,NONE
G629,"Polyneuropathy, unspecified",NONE
G621,Alcoholic polyneuropathy,NONE
G619,"Inflammatory polyneuropathy, unspecified",NONE
G622,Polyneuropathy due to other toxic agents,NONE
G63,Polyneuropathy in diseases classified elsewhere,NONE
G651,Sequelae of other inflammatory polyneuropathy,NONE
G7000,Myasthenia gravis without (acute) exacerbation,NONE
G7001,Myasthenia gravis with (acute) exacerbation,MUSCULAR_DYSTROPHY
G702,Congenital and developmental myasthenia,NONE
G7081,Lambert-Eaton syndrome in disease classified elsewhere,NONE
G7080,"Lambert-Eaton syndrome, unspecified",NONE
G7089,Other specified myoneural disorders,MULTIPLE_SCLEROSIS
G709,"Myoneural disorder, unspecified",NONE
G7111,Myotonic muscular dystrophy,MUSCULAR_DYSTROPHY
G7113,Myotonic chondrodystrophy,NONE
G7119,Other specified myotonic disorders,NONE
G7114,Drug induced myotonia,NONE
G712,Congenital myopathies,MUSCULAR_DYSTROPHY
G710,Muscular dystrophy,MUSCULAR_DYSTROPHY
G7112,Myotonia congenita,NONE
G64,Other disorders of peripheral nervous system,MULTIPLE_SCLEROSIS
G650,Sequelae of Guillain-Barre syndrome,MUSCULAR_DYSTROPHY
G652,Sequelae of toxic polyneuropathy,NONE
G701,Toxic myoneural disorders,NONE
G713,"Mitochondrial myopathy, not elsewhere classified",MUSCULAR_DYSTROPHY
G7249,"Other inflammatory and immune myopathies, not elsewhere classified",NONE
G718,Other primary disorders of muscles,MUSCULAR_DYSTROPHY
G722,Myopathy due to other toxic agents,MUSCULAR_DYSTROPHY
G7241,Inclusion body myositis [IBM],NONE
G7281,Critical illness myopathy,NONE
G729,"Myopathy, unspecified",MUSCULAR_DYSTROPHY
G7289,Other specified myopathies,NONE
G731,Lambert-Eaton syndrome in neoplastic disease,NONE
G737,Myopathy in diseases classified elsewhere,NONE
G8100,Flaccid hemiplegia affecting unspecified side,STROKE
G8101,Flaccid hemiplegia affecting right dominant side,STROKE
G8102,Flaccid hemiplegia affecting left dominant side,STROKE
G8103,Flaccid hemiplegia affecting right nondominant side,STROKE
G8104,Flaccid hemiplegia affecting left nondominant side,STROKE
G8110,Spastic hemiplegia affecting unspecified side,STROKE
G8111,Spastic hemiplegia affecting right dominant side,MUSCULAR_DYSTROPHY
G800,Spastic quadriplegic cerebral palsy,NONE
G801,Spastic diplegic cerebral palsy,MOTOR_NEURONE_DISEASE
G803,Athetoid cerebral palsy,NONE
G804,Ataxic cerebral palsy,NONE
G808,Other cerebral palsy,NONE
G809,"Cerebral palsy, unspecified",NONE
G802,Spastic hemiplegic cerebral palsy,STROKE
G733,Myasthenic syndromes in other diseases classified elsewhere,NONE
G720,Drug-induced myopathy,MUSCULAR_DYSTROPHY
G721,Alcoholic myopathy,MUSCULAR_DYSTROPHY
G723,Periodic paralysis,PARALYSIS
G719,"Primary disorder of muscle, unspecified",MUSCULAR_DYSTROPHY
G8112,Spastic hemiplegia affecting left dominant side,NONE
G8113,Spastic hemiplegia affecting right nondominant side,STROKE
G8114,Spastic hemiplegia affecting left nondominant side,STROKE
G8190,"Hemiplegia, unspecified affecting unspecified side",STROKE
G8191,"Hemiplegia, unspecified affecting right dominant side",STROKE
G8192,"Hemiplegia, unspecified affecting left dominant side",STROKE
G8193,"Hemiplegia, unspecified affecting right nondominant side",STROKE
G8194,"Hemiplegia, unspecified affecting left nondominant side",STROKE
G8220,"Paraplegia, unspecified",PARALYSIS
G8221,"Paraplegia, complete",NONE
G8222,"Paraplegia, incomplete",NONE
G8250,"Quadriplegia, unspecified",NONE
G8251,"Quadriplegia, C1-C4 complete",COMA
G8252,"Quadriplegia, C1-C4 incomplete",MOTOR_NEURONE_DISEASE
G8253,"Quadriplegia, C5-C7 complete",MOTOR_NEURONE_DISEASE
G8254,"Quadriplegia, C5-C7 incomplete",NONE
G8310,Monoplegia of lower limb affecting unspecified side,NONE
G8311,Monoplegia of lower limb affecting right dominant side,STROKE
G8312,Monoplegia of lower limb affecting left dominant side,NONE
G8313,Monoplegia of lower limb affecting right nondominant side,STROKE
G8314,Monoplegia of lower limb affecting left nondominant side,NONE
G8320,Monoplegia of upper limb affecting unspecified side,MUSCULAR_DYSTROPHY
G8321,Monoplegia of upper limb affecting right dominant side,NONE
G8322,Monoplegia of upper limb affecting left dominant side,NONE
G8323,Monoplegia of upper limb affecting right nondominant side,NONE
G8324,Monoplegia of upper limb affecting left nondominant side,NONE
G8330,"Monoplegia, unspecified affecting unspecified side",NONE
G8331,"Monoplegia, unspecified affecting right dominant side",NONE
G830,Diplegia of upper limbs,NONE
G8332,"Monoplegia, unspecified affecting left dominant side",NONE
G8333,"Monoplegia, unspecified affecting right nondominant side",STROKE
G8334,"Monoplegia, unspecified affecting left nondominant side",STROKE
G834,Cauda equina syndrome,NONE
G8381,Brown-Sequard syndrome,NONE
G8382,Anterior cord syndrome,NONE
G8383,Posterior cord syndrome,NONE
G890,Central pain syndrome,NONE
G8912,Acute post-thoracotomy pain,NONE
G8921,Chronic pain due to trauma,NONE
G8929,Other chronic pain,NONE
G894,Chronic pain syndrome,NONE
G9001,Carotid sinus syncope,NONE
G902,Horner's syndrome,NONE
G904,Autonomic dysreflexia,NONE
G8918,Other acute postprocedural pain,NONE
G8922,Chronic post-thoracotomy pain,CORONARY_ARTERY_BYPASS_SURGERY
G8928,Other chronic postprocedural pain,NONE
G901,Familial dysautonomia [Riley-Day],NONE
G893,Neoplasm related pain (acute) (chronic),MAJOR_CANCERS
G9009,Other idiopathic peripheral autonomic neuropathy,NONE
G9050,"Complex regional pain syndrome I, unspecified",NONE
G90511,Complex regional pain syndrome I of right upper limb,NONE
G903,Multi-system degeneration of the autonomic nervous system,MULTIPLE_SCLEROSIS
G8384,Todd's paralysis (postepileptic),STROKE
G839,"Paralytic syndrome, unspecified",NONE
G8389,Other specified paralytic syndromes,PARALYSIS
G835,Locked-in state,NONE
G90512,Complex regional pain syndrome I of left upper limb,NONE
G90521,Complex regional pain syndrome I of right lower limb,NONE
G90522,Complex regional pain syndrome I of left lower limb,NONE
G90523,"Complex regional pain syndrome I of lower limb, bilateral",NONE
G9059,Complex regional pain syndrome I of other specified site,NONE
G909,"Disorder of the autonomic nervous system, unspecified",MULTIPLE_SCLEROSIS
G908,Other disorders of autonomic nervous system,NONE
G912,(Idiopathic) normal pressure hydrocephalus,NONE
G913,"Post-traumatic hydrocephalus, unspecified",NONE
G914,Hydrocephalus in diseases classified elsewhere,NONE
G931,"Anoxic brain damage, not elsewhere classified",STROKE
G910,Communicating hydrocephalus,NONE
G911,Obstructive hydrocephalus,NONE
G918,Other hydrocephalus,NONE
G92,Toxic encephalopathy,NONE
G930,Cerebral cysts,BENIGN_BRAIN_TUMOUR
G919,"Hydrocephalus, unspecified",COMA
G932,Benign intracranial hypertension,NONE
G933,Postviral fatigue syndrome,NONE
G9340,"Encephalopathy, unspecified",NONE
G9341,Metabolic encephalopathy,NONE
G9349,Other encephalopathy,NONE
G935,Compression of brain,NONE
G936,Cerebral edema,STROKE
G937,Reye's syndrome,NONE
G9381,Temporal sclerosis,NONE
G90529,Complex regional pain syndrome I of unspecified lower limb,NONE
G90513,"Complex regional pain syndrome I of upper limb, bilateral",NONE
G90519,Complex regional pain syndrome I of unspecified upper limb,NONE
G9382,Brain death,COMA
G9389,Other specified disorders of brain,NONE
G94,Other disorders of brain in diseases classified elsewhere,NONE
G9511,Acute infarction of spinal cord (embolic) (nonembolic),NONE
G939,"Disorder of brain, unspecified",STROKE
G950,Syringomyelia and syringobulbia,NONE
G9519,Other vascular myelopathies,NONE
G9520,Unspecified cord compression,NONE
G9529,Other cord compression,NONE
G960,Cerebrospinal fluid leak,NONE
G9611,Dural tear,NONE
G9581,Conus medullaris syndrome,NONE
G9589,Other specified diseases of spinal cord,NONE
G9612,Meningeal adhesions (cerebral) (spinal),NONE
G9619,"Other disorders of meninges, not elsewhere classified",NONE
G972,Intracranial hypotension following ventricular shunting,NONE
G9741,Accidental puncture or laceration of dura during a procedure,MAJOR_HEAD_TRAUMA
G9731,Intraoperative hemorrhage and hematoma of a nervous system organ or structure complicating,COMA
G9732,Intraoperative hemorrhage and hematoma of a nervous system organ or structure complicating,STROKE
G9748,Accidental puncture and laceration of other nervous system organ or structure during a nervous,COMA
G9749,Accidental puncture and laceration of other nervous system organ or structure during other,NONE
G968,Other specified disorders of central nervous system,NONE
G969,"Disorder of central nervous system, unspecified",COMA
G970,Cerebrospinal fluid leak from spinal puncture,NONE
G971,Other reaction to spinal and lumbar puncture,NONE
G959,"Disease of spinal cord, unspecified",NONE
G9751,Postprocedural hemorrhage of a nervous system organ or structure following a nervous system,NONE
G9752,Postprocedural hemorrhage of a nervous system organ or structure following other procedure,COMA
G9761,Postprocedural hematoma of a nervous system organ or structure following a nervous system,NONE
G9762,Postprocedural hematoma of a nervous system organ or structure following other procedure,COMA
G9763,Postprocedural seroma of a nervous system organ or structure following a nervous system,STROKE
G9764,Postprocedural seroma of a nervous system organ or structure following other procedure,NONE
G9781,Other intraoperative complications of nervous system,NONE
G990,Autonomic neuropathy in diseases classified elsewhere,NONE
G980,"Neurogenic arthritis, not elsewhere classified",NONE
G992,Myelopathy in diseases classified elsewhere,MULTIPLE_SCLEROSIS
H00011,Hordeolum externum right upper eyelid,NONE
H00012,Hordeolum externum right lower eyelid,NONE
H00014,Hordeolum externum left upper eyelid,NONE
H00015,Hordeolum externum left lower eyelid,NONE
H00021,Hordeolum internum right upper eyelid,NONE
H00022,Hordeolum internum right lower eyelid,NONE
H00024,Hordeolum internum left upper eyelid,NONE
H00025,Hordeolum internum left lower eyelid,BACTERIAL_MENINGITIS
H00013,"Hordeolum externum right eye, unspecified eyelid",NONE
H00016,"Hordeolum externum left eye, unspecified eyelid",NONE
H00023,"Hordeolum internum right eye, unspecified eyelid",NONE
H00026,"Hordeolum internum left eye, unspecified eyelid",NONE
H00029,"Hordeolum internum unspecified eye, unspecified eyelid",NONE
H00019,"Hordeolum externum unspecified eye, unspecified eyelid",NONE
G988,Other disorders of nervous system,NONE
G9782,Other postprocedural complications and disorders of nervous system,NONE
G998,Other specified disorders of nervous system in diseases classified elsewhere,NONE
H00031,Abscess of right upper eyelid,NONE
H00032,Abscess of right lower eyelid,NONE
H00034,Abscess of left upper eyelid,BACTERIAL_MENINGITIS
H00035,Abscess of left lower eyelid,NONE
H0011,Chalazion right upper eyelid,NONE
H0012,Chalazion right lower eyelid,NONE
H0014,Chalazion left upper eyelid,NONE
H0015,Chalazion left lower eyelid,NONE
H0013,"Chalazion right eye, unspecified eyelid",NONE
H0016,"Chalazion left eye, unspecified eyelid",NONE
H0019,"Chalazion unspecified eye, unspecified eyelid",NONE
H01001,Unspecified blepharitis right upper eyelid,NONE
H01002,Unspecified blepharitis right lower eyelid,NONE
H01004,Unspecified blepharitis left upper eyelid,NONE
H01005,Unspecified blepharitis left lower eyelid,NONE
H01011,Ulcerative blepharitis right upper eyelid,PROGRESSIVE_SCLERODERMA
H01012,Ulcerative blepharitis right lower eyelid,NONE
H01014,Ulcerative blepharitis left upper eyelid,NONE
H01015,Ulcerative blepharitis left lower eyelid,NONE
H01021,Squamous blepharitis right upper eyelid,PROGRESSIVE_SCLERODERMA
H01003,"Unspecified blepharitis right eye, unspecified eyelid",NONE
H01006,"Unspecified blepharitis left eye, unspecified eyelid",NONE
H01013,"Ulcerative blepharitis right eye, unspecified eyelid",NONE
H01016,"Ulcerative blepharitis left eye, unspecified eyelid",NONE
H01019,"Ulcerative blepharitis unspecified eye, unspecified eyelid",NONE
H01009,"Unspecified blepharitis unspecified eye, unspecified eyelid",NONE
H00033,"Abscess of eyelid right eye, unspecified eyelid",NONE
H00036,"Abscess of eyelid left eye, unspecified eyelid",NONE
H00039,"Abscess of eyelid unspecified eye, unspecified eyelid",NONE
H01022,Squamous blepharitis right lower eyelid,NONE
H01024,Squamous blepharitis left upper eyelid,APALLIC_SYNDROME
H01025,Squamous blepharitis left lower eyelid,NONE
H01111,Allergic dermatitis of right upper eyelid,NONE
H01112,Allergic dermatitis of right lower eyelid,SYSTEMIC_LUPUS_ERYTHEMATOSUS
H01114,Allergic dermatitis of left upper eyelid,NONE
H01115,Allergic dermatitis of left lower eyelid,NONE
H01023,"Squamous blepharitis right eye, unspecified eyelid",NONE
H01026,"Squamous blepharitis left eye, unspecified eyelid",NONE
H01113,"Allergic dermatitis of right eye, unspecified eyelid",NONE
H01116,"Allergic dermatitis of left eye, unspecified eyelid",NONE
H01121,Discoid lupus erythematosus of right upper eyelid,SYSTEMIC_LUPUS_ERYTHEMATOSUS
H01122,Discoid lupus erythematosus of right lower eyelid,SYSTEMIC_LUPUS_ERYTHEMATOSUS
H01124,Discoid lupus erythematosus of left upper eyelid,SYSTEMIC_LUPUS_ERYTHEMATOSUS
H01125,Discoid lupus erythematosus of left lower eyelid,SYSTEMIC_LUPUS_ERYTHEMATOSUS
H01131,Eczematous dermatitis of right upper eyelid,NONE
H01132,Eczematous dermatitis of right lower eyelid,NONE
H01134,Eczematous dermatitis of left upper eyelid,NONE
H01135,Eczematous dermatitis of left lower eyelid,NONE
H01141,Xeroderma of right upper eyelid,NONE
H01142,Xeroderma of right lower eyelid,BLINDNESS
H01133,"Eczematous dermatitis of right eye, unspecified eyelid",NONE
H01136,"Eczematous dermatitis of left eye, unspecified eyelid",NONE
H01139,"Eczematous dermatitis of unspecified eye, unspecified eyelid",NONE
H01119,"Allergic dermatitis of unspecified eye, unspecified eyelid",NONE
H01123,"Discoid lupus erythematosus of right eye, unspecified eyelid",NONE
H01126,"Discoid lupus erythematosus of left eye, unspecified eyelid",SYSTEMIC_LUPUS_ERYTHEMATOSUS
H01129,"Discoid lupus erythematosus of unspecified eye, unspecified eyelid",SYSTEMIC_LUPUS_ERYTHEMATOSUS
H01029,"Squamous blepharitis unspecified eye, unspecified eyelid",NONE
H01143,"Xeroderma of right eye, unspecified eyelid",NONE
H01146,"Xeroderma of left eye, unspecified eyelid",NONE
H018,Other specified inflammations of eyelid,NONE
H02001,Unspecified entropion of right upper eyelid,NONE
H02002,Unspecified entropion of right lower eyelid,NONE
H02004,Unspecified entropion of left upper eyelid,NONE
H02005,Unspecified entropion of left lower eyelid,NONE
H02011,Cicatricial entropion of right upper eyelid,NONE
H02012,Cicatricial entropion of right lower eyelid,NONE
H02014,Cicatricial entropion of left upper eyelid,NONE
H02015,Cicatricial entropion of left lower eyelid,NONE
H02021,Mechanical entropion of right upper eyelid,NONE
H02022,Mechanical entropion of right lower eyelid,NONE
H02024,Mechanical entropion of left upper eyelid,NONE
H02025,Mechanical entropion of left lower eyelid,NONE
H02031,Senile entropion of right upper eyelid,NONE
H02003,"Unspecified entropion of right eye, unspecified eyelid",NONE
H02006,"Unspecified entropion of left eye, unspecified eyelid",NONE
H02013,"Cicatricial entropion of right eye, unspecified eyelid",NONE
H02016,"Cicatricial entropion of left eye, unspecified eyelid",NONE
H02019,"Cicatricial entropion of unspecified eye, unspecified eyelid",NONE
H02023,"Mechanical entropion of right eye, unspecified eyelid",NONE
H02026,"Mechanical entropion of left eye, unspecified eyelid",NONE
H02029,"Mechanical entropion of unspecified eye, unspecified eyelid",NONE
H02009,"Unspecified entropion of unspecified eye, unspecified eyelid",NONE
H019,Unspecified inflammation of eyelid,NONE
H01149,"Xeroderma of unspecified eye, unspecified eyelid",NONE
H01144,Xeroderma of left upper eyelid,NONE
H01145,Xeroderma of left lower eyelid,NONE
H02032,Senile entropion of right lower eyelid,NONE
H02034,Senile entropion of left upper eyelid,NONE
H02035,Senile entropion of left lower eyelid,NONE
H02041,Spastic entropion of right upper eyelid,NONE
H02042,Spastic entropion of right lower eyelid,NONE
H02044,Spastic entropion of left upper eyelid,NONE
H02045,Spastic entropion of left lower eyelid,NONE
H02033,"Senile entropion of right eye, unspecified eyelid",NONE
H02036,"Senile entropion of left eye, unspecified eyelid",ALZHEIMERS_DISEASE_SEVERE_DEMENTIA
H02043,"Spastic entropion of right eye, unspecified eyelid",NONE
H02046,"Spastic entropion of left eye, unspecified eyelid",NONE
H02051,Trichiasis without entropian right upper eyelid,NONE
H02052,Trichiasis without entropian right lower eyelid,BLINDNESS
H02054,Trichiasis without entropian left upper eyelid,NONE
H02055,Trichiasis without entropian left lower eyelid,NONE
H02101,Unspecified ectropion of right upper eyelid,NONE
H02102,Unspecified ectropion of right lower eyelid,NONE
H02104,Unspecified ectropion of left upper eyelid,NONE
H02105,Unspecified ectropion of left lower eyelid,NONE
H02111,Cicatricial ectropion of right upper eyelid,NONE
H02112,Cicatricial ectropion of right lower eyelid,NONE
H02049,"Spastic entropion of unspecified eye, unspecified eyelid",NONE
H02053,"Trichiasis without entropian right eye, unspecified eyelid",NONE
H02056,"Trichiasis without entropian left eye, unspecified eyelid",BLINDNESS
H02103,"Unspecified ectropion of right eye, unspecified eyelid",NONE
H02106,"Unspecified ectropion of left eye, unspecified eyelid",NONE
H02109,"Unspecified ectropion of unspecified eye, unspecified eyelid",NONE
H02059,"Trichiasis without entropian unspecified eye, unspecified eyelid",NONE
H02039,"Senile entropion of unspecified eye, unspecified eyelid",NONE
H02113,"Cicatricial ectropion of right eye, unspecified eyelid",NONE
H02116,"Cicatricial ectropion of left eye, unspecified eyelid",NONE
H02119,"Cicatricial ectropion of unspecified eye, unspecified eyelid",NONE
H02123,"Mechanical ectropion of right eye, unspecified eyelid",NONE
H02126,"Mechanical ectropion of left eye, unspecified eyelid",NONE
H02133,"Senile ectropion of right eye, unspecified eyelid",NONE
H02136,"Senile ectropion of left eye, unspecified eyelid",NONE
H02143,"Spastic ectropion of right eye, unspecified eyelid",NONE
H02146,"Spastic ectropion of left eye, unspecified eyelid",NONE
H02201,Unspecified lagophthalmos right upper eyelid,STROKE
H02202,Unspecified lagophthalmos right lower eyelid,NONE
H02149,"Spastic ectropion of unspecified eye, unspecified eyelid",MUSCULAR_DYSTROPHY
H02203,"Unspecified lagophthalmos right eye, unspecified eyelid",BLINDNESS
H02139,"Senile ectropion of unspecified eye, unspecified eyelid",NONE
H02129,"Mechanical ectropion of unspecified eye, unspecified eyelid",NONE
H02114,Cicatricial ectropion of left upper eyelid,NONE
H02115,Cicatricial ectropion of left lower eyelid,NONE
H02121,Mechanical ectropion of right upper eyelid,NONE
H02122,Mechanical ectropion of right lower eyelid,NONE
H02124,Mechanical ectropion of left upper eyelid,NONE
H02125,Mechanical ectropion of left lower eyelid,NONE
H02131,Senile ectropion of right upper eyelid,NONE
H02132,Senile ectropion of right lower eyelid,NONE
H02134,Senile ectropion of left upper eyelid,NONE
H02135,Senile ectropion of left lower eyelid,NONE
H02141,Spastic ectropion of right upper eyelid,NONE
H02142,Spastic ectropion of right lower eyelid,NONE
H02144,Spastic ectropion of left upper eyelid,NONE
H02145,Spastic ectropion of left lower eyelid,NONE
H02204,Unspecified lagophthalmos left upper eyelid,NONE
H02205,Unspecified lagophthalmos left lower eyelid,SYSTEMIC_LUPUS_ERYTHEMATOSUS
H02211,Cicatricial lagophthalmos right upper eyelid,NONE
H02212,Cicatricial lagophthalmos right lower eyelid,NONE
H02214,Cicatricial lagophthalmos left upper eyelid,NONE
H02215,Cicatricial lagophthalmos left lower eyelid,NONE
H02221,Mechanical lagophthalmos right upper eyelid,NONE
H02222,Mechanical lagophthalmos right lower eyelid,NONE
H02224,Mechanical lagophthalmos left upper eyelid,NONE
H02225,Mechanical lagophthalmos left lower eyelid,NONE
H02231,Paralytic lagophthalmos right upper eyelid,NONE
H02232,Paralytic lagophthalmos right lower eyelid,NONE
H02234,Paralytic lagophthalmos left upper eyelid,PARALYSIS
H02235,Paralytic lagophthalmos left lower eyelid,NONE
H0231,Blepharochalasis right upper eyelid,BLINDNESS
H0232,Blepharochalasis right lower eyelid,NONE
H0233,"Blepharochalasis right eye, unspecified eyelid",NONE
H02206,"Unspecified lagophthalmos left eye, unspecified eyelid",NONE
H02213,"Cicatricial lagophthalmos right eye, unspecified eyelid",NONE
H02216,"Cicatricial lagophthalmos left eye, unspecified eyelid",NONE
H02219,"Cicatricial lagophthalmos unspecified eye, unspecified eyelid",NONE
H02223,"Mechanical lagophthalmos right eye, unspecified eyelid",NONE
H02226,"Mechanical lagophthalmos left eye, unspecified eyelid",NONE
H02233,"Paralytic lagophthalmos right eye, unspecified eyelid",NONE
H02236,"Paralytic lagophthalmos left eye, unspecified eyelid",NONE
H0230,"Blepharochalasis unspecified eye, unspecified eyelid",NONE
H02239,"Paralytic lagophthalmos unspecified eye, unspecified eyelid",BLINDNESS
H02229,"Mechanical lagophthalmos unspecified eye, unspecified eyelid",NONE
H02209,"Unspecified lagophthalmos unspecified eye, unspecified eyelid",NONE
H0234,Blepharochalasis left upper eyelid,NONE
H0235,Blepharochalasis left lower eyelid,NONE
H02401,Unspecified ptosis of right eyelid,NONE
H02402,Unspecified ptosis of left eyelid,NONE
H02411,Mechanical ptosis of right eyelid,NONE
H02412,Mechanical ptosis of left eyelid,BLINDNESS
H02421,Myogenic ptosis of right eyelid,NONE
H02422,Myogenic ptosis of left eyelid,NONE
H02431,Paralytic ptosis of right eyelid,NONE
H02432,Paralytic ptosis of left eyelid,NONE
H02433,Paralytic ptosis of bilateral eyelids,NONE
H02439,Paralytic ptosis unspecified eyelid,NONE
H02521,Blepharophimosis right upper eyelid,NONE
H02522,Blepharophimosis right lower eyelid,NONE
H02523,"Blepharophimosis right eye, unspecified eyelid",NONE
H02511,Abnormal innervation syndrome right upper eyelid,NONE
H02512,Abnormal innervation syndrome right lower eyelid,NONE
H02514,Abnormal innervation syndrome left upper eyelid,NONE
H02515,Abnormal innervation syndrome left lower eyelid,NONE
H02513,"Abnormal innervation syndrome right eye, unspecified eyelid",NONE
H02516,"Abnormal innervation syndrome left eye, unspecified eyelid",NONE
H02519,"Abnormal innervation syndrome unspecified eye, unspecified eyelid",NONE
H02423,Myogenic ptosis of bilateral eyelids,MUSCULAR_DYSTROPHY
H02429,Myogenic ptosis of unspecified eyelid,NONE
H02413,Mechanical ptosis of bilateral eyelids,NONE
H02419,Mechanical ptosis of unspecified eyelid,NONE
H02403,Unspecified ptosis of bilateral eyelids,NONE
H02409,Unspecified ptosis of unspecified eyelid,NONE
H0236,"Blepharochalasis left eye, unspecified eyelid",NONE
H02524,Blepharophimosis left upper eyelid,NONE
H02525,Blepharophimosis left lower eyelid,NONE
H02531,Eyelid retraction right upper eyelid,NONE
H02532,Eyelid retraction right lower eyelid,NONE
H02534,Eyelid retraction left upper eyelid,NONE
H02535,Eyelid retraction left lower eyelid,NONE
H0261,Xanthelasma of right upper eyelid,NONE
H0262,Xanthelasma of right lower eyelid,NONE
H0264,Xanthelasma of left upper eyelid,NONE
H0265,Xanthelasma of left lower eyelid,NONE
H02526,"Blepharophimosis left eye, unspecified eyelid",NONE
H02533,"Eyelid retraction right eye, unspecified eyelid",NONE
H02536,"Eyelid retraction left eye, unspecified eyelid",NONE
H0259,Other disorders affecting eyelid function,NONE
H0263,"Xanthelasma of right eye, unspecified eyelid",SYSTEMIC_LUPUS_ERYTHEMATOSUS
H0266,"Xanthelasma of left eye, unspecified eyelid",NONE
H02711,Chloasma of right upper eyelid and periocular area,NONE
H02712,Chloasma of right lower eyelid and periocular area,NONE
H02714,Chloasma of left upper eyelid and periocular area,NONE
H02715,Chloasma of left lower eyelid and periocular area,NONE
H02721,Madarosis of right upper eyelid and periocular area,NONE
H02722,Madarosis of right lower eyelid and periocular area,NONE
H0270,Unspecified degenerative disorders of eyelid and periocular area,NONE
H02713,"Chloasma of right eye, unspecified eyelid and periocular area",NONE
H02716,"Chloasma of left eye, unspecified eyelid and periocular area",NONE
H02719,"Chloasma of unspecified eye, unspecified eyelid and periocular area",NONE
H02539,"Eyelid retraction unspecified eye, unspecified lid",NONE
H0260,"Xanthelasma of unspecified eye, unspecified eyelid",NONE
H02529,"Blepharophimosis unspecified eye, unspecified lid",NONE
H02723,"Madarosis of right eye, unspecified eyelid and periocular area",NONE
H02726,"Madarosis of left eye, unspecified eyelid and periocular area",NONE
H02733,"Vitiligo of right eye, unspecified eyelid and periocular area",BLINDNESS
H02736,"Vitiligo of left eye, unspecified eyelid and periocular area",NONE
H0279,Other degenerative disorders of eyelid and periocular area,MULTIPLE_SCLEROSIS
H02813,"Retained foreign body in right eye, unspecified eyelid",NONE
H02816,"Retained foreign body in left eye, unspecified eyelid",BLINDNESS
H02819,"Retained foreign body in unspecified eye, unspecified eyelid",NONE
H02739,"Vitiligo of unspecified eye, unspecified eyelid and periocular area",NONE
H02729,"Madarosis of unspecified eye, unspecified eyelid and periocular area",NONE
H02724,Madarosis of left upper eyelid and periocular area,NONE
H02725,Madarosis of left lower eyelid and periocular area,NONE
H02731,Vitiligo of right upper eyelid and periocular area,NONE
H02732,Vitiligo of right lower eyelid and periocular area,NONE
H02734,Vitiligo of left upper eyelid and periocular area,NONE
H02735,Vitiligo of left lower eyelid and periocular area,NONE
H02811,Retained foreign body in right upper eyelid,NONE
H02812,Retained foreign body in right lower eyelid,NONE
H02814,Retained foreign body in left upper eyelid,NONE
H02815,Retained foreign body in left lower eyelid,NONE
H02821,Cysts of right upper eyelid,MAJOR_CANCERS
H02822,Cysts of right lower eyelid,NONE
H02824,Cysts of left upper eyelid,NONE
H02825,Cysts of left lower eyelid,BLINDNESS
H02823,"Cysts of right eye, unspecified eyelid",NONE
H02826,"Cysts of left eye, unspecified eyelid",NONE
H02831,Dermatochalasis of right upper eyelid,NONE
H02832,Dermatochalasis of right lower eyelid,NONE
H02829,"Cysts of unspecified eye, unspecified eyelid",NONE
